#Stadt,Einwohner,Breitengrad,Laengengrad
San Diego,1338348,32.8153,-117.135
San Francisco,825863,37.7599,-122.437
San Jose,288054,9.93,-84.08
San Jose,982765,37.2969,-121.819
San Juan,418140,18.44,-66.13
San Luis Potosi,772828,22.16,-100.98
San Miguelito,321501,9.03,-79.5
San Nicolas de los Garza,476761,25.75,-100.3
San Pedro de Macoris,217899,18.46,-69.31
San Pedro Sula,623100,15.47,-88.03
San Salvador,567698,13.69,-89.19
Santa Ana,204340,14.,-89.54
Santa Ana,330920,33.7365,-117.883
Santa Catarina,259202,25.67,-100.47
Santa Clara,207170,22.41,-79.97
Santiago,555904,19.48,-70.69
Santiago de Cuba,555865,20.01,-75.82
Santo Domingo,1111838,18.48,-69.91
Saskatoon,222189,52.15,-106.66
Scottsdale,223514,33.6687,-111.824
Seattle,634535,47.6205,-122.351
Soledad,215968,22.18,-100.96
Soyapango,241403,13.7,-89.16
Stockton,297984,37.9763,-121.313
Surrey,394976,49.1833,-122.85
Tampa,347645,27.9701,-82.4797
Tampico,303635,22.22,-97.85
Tegucigalpa,990600,14.09,-87.22
Tehuacan,238229,18.45,-97.38
Tepic,295204,21.5,-104.89
Tijuana,1559714,32.53,-117.02
Tlalnepantla,664160,19.54,-99.19
Tlaquepaque,542051,20.64,-103.32
Toledo,284012,41.6641,-83.5819
Toluca,467712,19.29,-99.67
Tonala,374258,20.62,-103.23
Toronto,2615060,43.65,-79.38
Torreon,548723,25.55,-103.43
Tucson,524295,32.1543,-110.871
Tulsa,393987,36.1279,-95.9023
Tuxtla Gutierrez,490455,16.75,-93.12
Uruapan,238975,19.42,-102.07
Vancouver,603502,49.28,-123.13
Vaughan,238866,43.8334,-79.5329
Veracruz,444438,19.19,-96.14
Victoria,278455,23.73,-99.13
Villahermosa,335778,17.98,-92.92
Villa Nueva,406830,14.53,-90.59
Virginia Beach,447021,36.7793,-76.024
Washington,632323,38.9041,-77.0171
Wichita,385577,37.6907,-97.3427
Windsor,210891,42.3,-83.03
Winnipeg,663617,49.88,-97.17
Winston-Salem,234349,36.1033,-80.2606
Xalapa,387879,19.53,-96.92
Xico,365777,19.27,-98.94
Zapopan,1243538,20.72,-103.4
