#Stadt,Einwohner,Breitengrad,Laengengrad
Santa Teresa,278890,10.23,-66.66
Santiago,5428590,-33.46,-70.64
Santiago del Estero,354692,-27.8,-64.28
Santo Andre,667891,-23.65,-46.53
Santo Domingo,200421,-0.25,-79.16
Santos,416100,-23.95,-46.33
Sao Bernardo do Campo,746718,-23.71,-46.54
Sao Goncalo,945752,-22.84,-43.07
Sao Joao de Meriti,464282,-22.8,-43.35
Sao Jose do Rio Preto,406220,-20.8,-49.39
Sao Jose dos Campos,673255,-23.2,-45.88
Sao Jose dos Pinhais,236600,-25.57,-49.18
Sao Luis,966989,-2.5,-44.3
Sao Paulo,10659386,-23.53,-46.63
Sao Vicente,323500,-23.96,-46.39
Serra,383500,-20.13,-40.32
Sincelejo,219639,9.29,-75.38
Soacha,426648,4.58,-74.22
Soledad,502736,10.92,-74.77
Sorocaba,559157,-23.49,-47.47
Sucre,224838,-19.06,-65.26
Sullana,249337,-4.89,-80.68
Suzano,283314,-23.55,-46.31
Tacna,242451,-18.02,-70.25
Talcahuano,252968,-36.74,-73.13
Taubate,250000,-23.02,-45.56
Temuco,238129,-38.73,-72.58
Teresina,797029,-5.1,-42.8
Trujillo,682834,-8.11,-79.03
Tucuman,549163,-26.83,-65.22
Turmero,344700,10.22,-67.48
Uberaba,315360,-19.76,-47.94
Uberlandia,593500,-18.9,-48.28
Valencia,1408400,10.23,-67.98
Valledupar,315396,10.48,-73.25
Valparaiso,282448,-33.04,-71.64
Viamao,235700,-30.09,-50.98
Vila Velha,396500,-20.32,-40.28
Villavicencio,378668,4.15,-73.64
Vina del Mar,294551,-33.01,-71.55
Vitoria,314042,-20.31,-40.31
Vitoria da Conquista,315884,-14.85,-40.84
Volta Redonda,255600,-22.51,-44.12
