#Stadt,Einwohner,Breitengrad,Laengengrad
Davanagere,406718,14.46,75.92
Davao,785668,7.07306,125.613
Dayr az-Zawr,242565,35.33,40.13
Dazhou,6575599,31.2167,107.5
Dehiwala-Mount Lavinia,215941,6.85,79.87
Dehra Dun,522081,30.34,78.05
Delhi,10927986,28.67,77.21
Denizli,511751,37.78,29.08
Denpasar,405923,-8.65,115.22
Depok,1751696,-6.39,106.83
Dera Ghazi Khan,236093,30.06,70.64
Dezful,228507,32.38,48.47
Dezhou,5690100,37.45,116.3
Dhaka,11875000,23.7,90.39
Dinajpur,206234,25.63,88.64
Diyarbakir,834854,37.92,40.23
Doha,338760,25.3,51.51
Dubai,2106177,25.27,55.33
Durgapur,518872,23.5,87.31
Dushanbe,706100,38.57,68.78
Dzerzhinsk,252532,56.24,43.46
Elazig,319381,38.68,39.23
Erzurum,368146,39.91,41.29
Esenyurt,253084,41.03,28.67
Eskisehir,570825,39.79,30.52
Eslamshahr,357171,35.54,51.2
Faisalabad,2506595,31.41,73.11
Faridabad,1280827,28.38,77.3
Fengshan,338596,22.63,120.35
Fuchu,245626,35.67,139.48
Fuji,236493,35.17,138.69
Fujisawa,395997,35.33,139.47
Fukui,252224,36.08,136.22
Fukuoka,1384820,33.59,130.41
Fukushima,290867,37.75,140.47
Fukuyama,418437,34.5,133.37
Funabashi,569829,35.7,139.99
Fuzhou,6379200,26.0761,119.306
Ganca,304500,40.68,46.35
Ganzhou,8969900,25.95,114.93
Gaya,423692,24.81,85.
Gaza,483869,31.5,34.46
Gaziantep,1278676,37.07,37.39
Gebze,281436,40.81,29.44
General Trias,218387,14.3869,120.882
Ghaziabad,1199191,28.66,77.41
Gifu,399921,35.42,136.76
Golestan,231905,35.7757,51.4721
Gorakhpur,674246,26.76,83.36
Gorgan,274438,36.83,54.48
Groznyy,218193,43.31,45.7
Guangzhou,7946200,23.12,113.25
Guigang,5096900,23.096,109.609
Guilin,5116300,25.28,110.28
Gujranwala,1384471,32.16,74.18
Gujrat,301506,32.58,74.07
Gulbarga,483615,17.34,76.82
Guntur,530577,16.31,80.44
Guwahati,899094,26.19,91.75
Gwalior,882458,26.23,78.17
Hachinohe,244678,40.52,141.53
Hachioji,571243,35.66,139.33
Haeju,227231,38.04,125.71
Hafar al-BaTin,231978,28.43,45.96
Haifa,268300,32.82,34.99
Hail,267005,27.53,41.7
Hai Phong,846191,20.86,106.68
Hakodate,294212,41.8,140.74
Hamadan,479640,34.77,48.58
Hamah,460602,35.15,36.73
Hamamatsu,792104,34.72,137.73
Hamhung,580914,39.91,127.54
Hamis MusayT,372695,18.31,42.73
Handan,9427700,36.58,114.48
Hangzhou,6833800,30.25,120.17
Hanoi,2644536,21.03,105.84
Haora,1027672,22.58,88.33
Harbin,9916000,45.75,126.65
Hefei,4914300,31.85,117.28
Hengyang,7398000,26.89,112.62
Herat,274000,34.35,62.18
Heze,9394400,35.23,115.45
Higashiosaka,513744,34.67,135.59
Himeji,482307,34.83,134.69
Hims,775404,34.73,36.72
Hirakata,404004,34.81,135.66
Hiratsuka,259017,35.33,139.35
Hiroshima,1153579,34.39,132.44
Ho Chi Minh City,5968384,10.78,106.69
Hong Kong,7234800,22.284,114.15
Hsichih,213893,25.07,121.65
Hsinchu,405371,24.82,120.98
Hsinchuang,406602,25.04,121.44
Hsintien,289366,24.96,121.53
Huaian,5341600,33.5,119.133
Huaihua,5088800,27.56,109.94
Huanggang,7396100,23.68,117.
Hubli,840214,15.36,75.13
Hue,287217,16.48,107.58
Hvngnam,359613,39.83,127.62
Hyderabad,1386330,25.38,68.37
Hyderabad,3597816,17.4,78.48
Ibaraki,267976,34.81,135.57
Ibb,212992,13.97,44.18
Ichihara,280241,35.53,140.09
