#Stadt,Einwohner,Breitengrad,Laengengrad
Wuhan,8355500,30.58,114.27
Xian,7816700,34.27,108.9
Xiangfan,5888800,32.02,112.13
Xianyang,5163800,34.37,108.7
Xiaogan,5287300,30.92,113.9
Xingtai,7186300,37.07,114.49
Xinxiang,5972500,35.32,113.87
Xinyang,8609900,32.13,114.07
Xuchang,4852100,34.02,113.82
Xuzhou,9576100,34.27,117.18
Yakutsk,239225,62.03,129.73
Yamagata,255959,38.25,140.33
Yancheng,8123700,33.39,120.12
Yantai,6520000,37.53,121.4
Yao,273474,34.63,135.58
Yaroslavl,603735,57.62,39.87
Yazd,432194,31.92,54.37
Yekaterinburg,1343839,56.85,60.6
Yerevan,1111300,40.17,44.52
Yibin,5349299,28.77,104.57
Yichun,5499200,27.8,114.383
Yogyakarta,636660,-7.78,110.37
Yokkaichi,303851,34.97,136.64
Yokohama,3605951,35.47,139.62
Yokosuka,426162,35.27,139.67
Yongzhou,5866600,26.23,111.6
Yoshkar-Ola,251416,56.64,47.87
Yosu,341994,34.7442,127.738
Yueyang,5586799,29.38,113.1
Yulin,6534100,22.6333,110.15
Yuncheng,5036200,35.0167,110.983
Yungho,235697,25.02,121.51
Yungkang,240207,22.94,121.12
Zahedan,552706,29.5,60.83
Zamboanga,392362,6.91028,122.074
Zanjan,349713,36.67,48.5
Zelenograd,228294,55.94,37.29
Zhanjiang,7631400,21.2,110.38
Zhaotong,5610400,27.32,103.72
Zhengzhou,7314700,34.75,113.67
Zhoukou,12067600,33.64,114.63
Zhumadian,8731300,32.97,114.05
Ziyang,5013500,30.14,104.64
Zunyi,7508600,27.7,106.92
