#Stadt,Einwohner,Breitengrad,Laengengrad
Ogbomosho,861257,8.08,4.18
Okene,479178,7.56,6.23
Ondo,257005,7.09,4.84
Onitsha,561066,6.16,6.78
Oshogbo,499414,7.83,4.58
Ouagadougou,1504226,12.37,-1.53
Oujda,400738,34.69,-1.91
Owerri,215038,5.5,7.02
Owo,276574,7.19,5.59
Oyo,736072,7.83,3.92
Pietermaritzburg,616730,-29.61,30.39
Pointe Noire,711128,-4.77,11.87
Port Elizabeth,1050930,-33.96,25.59
Port Harcourt,1148665,4.78,7.
Porto Novo,234168,6.48,2.63
Port Said,570768,31.26,32.29
Pretoria,2345908,-25.73,28.22
Qena,230392,26.15,32.72
Rabat,1622860,34.02,-6.84
Richards Bay,252968,-28.8,32.09
Safaqis,265131,34.75,10.72
Safi,284750,32.32,-9.24
Satif,226290,36.19,5.41
Serre Kunda,323421,13.45,-16.68
Shagamu,214558,6.85,3.64
Shubra-El-Khema,1016722,30.11,31.25
Sokoto,563861,13.07,5.24
Soweto,1695047,-26.28,27.84
Suez,510935,29.98,32.54
Takoradi,232919,4.89,-1.76
Tamale,360579,9.4,-0.84
Tanga,224876,-5.07,39.09
Tangier,669685,35.79,-5.81
Tanta,421076,30.79,31.
Tarhunah,210697,32.43,13.63
Tembisa,511655,-25.99,28.22
Tetouan,320539,35.58,-5.37
Thies,252320,14.81,-16.93
Toamasina,206373,-18.15,49.4
Tripoli,1063571,32.87,13.18
Tshikapa,366503,-6.41,20.77
Tunis,2256320,36.84,10.22
Ugep,200276,5.81,8.08
Uitenhage,228912,-33.76,25.39
Umm Durman,1849659,15.65,32.48
Umuahia,264662,5.54,7.48
Uvira,235136,-3.37,29.14
Vanderbijlpark,246754,-26.69,27.82
Vereeniging,474681,-26.65,27.96
Wad Madani,289482,14.4,33.51
Wahran,645984,35.7,-0.62
Warri,536023,5.51,5.75
Welkom,431944,-27.97,26.73
Windhoek,268132,-22.56,17.09
Witbank,262491,-25.86,29.22
Yaounde,1812169,3.87,11.52
Zanzibar,403658,-6.17,39.21
Zaria,975153,11.08,7.71
